Channel Id,Channel Url,Channel Title
UCRcgy6GzDeccI7dkbbBna3Q,http://www.youtube.com/channel/UCRcgy6GzDeccI7dkbbBna3Q,LEMMiNO
UCS8v0Fh_awVqziOLAdcSb9A,http://www.youtube.com/channel/UCS8v0Fh_awVqziOLAdcSb9A,Cru5h
UCSq3p5NKEtyp5Rjd4ctiEbg,http://www.youtube.com/channel/UCSq3p5NKEtyp5Rjd4ctiEbg,Task & Purpose
UCTJInu-7PDDsWA26xcWW6KA,http://www.youtube.com/channel/UCTJInu-7PDDsWA26xcWW6KA,ThePruld
UCU2PacFf99vhb3hNiYDmxww,http://www.youtube.com/channel/UCU2PacFf99vhb3hNiYDmxww,Chelsea Football Club
UCUHW94eEFW7hkUMVaZz4eDg,http://www.youtube.com/channel/UCUHW94eEFW7hkUMVaZz4eDg,minutephysics
UCUXqYwTCR6R3Wr-FkLTD4AQ,http://www.youtube.com/channel/UCUXqYwTCR6R3Wr-FkLTD4AQ,EmperorTigerstar
UCUfsbWIraXIl7a6HKSJINUg,http://www.youtube.com/channel/UCUfsbWIraXIl7a6HKSJINUg,American Battlefield Trust
UCV6KDgJskWaEckne5aPA0aQ,http://www.youtube.com/channel/UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan
UCWSugqsoAdTQumuRVGdXz7w,http://www.youtube.com/channel/UCWSugqsoAdTQumuRVGdXz7w,Esper the Bard
UCXgGY0wkgOzynnHvSEVmE3A,http://www.youtube.com/channel/UCXgGY0wkgOzynnHvSEVmE3A,Hitesh Choudhary
UCXuqSBlHAE6Xw-yeJA0Tunw,http://www.youtube.com/channel/UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips
UCY2E3DuOd1bWJCqGEL3jVVw,http://www.youtube.com/channel/UCY2E3DuOd1bWJCqGEL3jVVw,Rocket League Streams
UCYzfVBuCfGz-oF3aOCGgO5g,http://www.youtube.com/channel/UCYzfVBuCfGz-oF3aOCGgO5g,Brett Kollmann
UCZYTClx2T1of7BRZ86-8fow,http://www.youtube.com/channel/UCZYTClx2T1of7BRZ86-8fow,SciShow
UCZYaxEBdyKDsZfq_JGZwIeQ,http://www.youtube.com/channel/UCZYaxEBdyKDsZfq_JGZwIeQ,FantasyPros
UCZzFRKsgVMhGTxffpzgTJlQ,http://www.youtube.com/channel/UCZzFRKsgVMhGTxffpzgTJlQ,Zak George’s Dog Training Revolution
UC_RifCSaesGVAmguu-iU-ow,http://www.youtube.com/channel/UC_RifCSaesGVAmguu-iU-ow,PainReliever
UCc-N24Y5OA0gqbjBwe1ttfA,http://www.youtube.com/channel/UCc-N24Y5OA0gqbjBwe1ttfA,Weird History
UCdKuPY64fEpI4cdlBSyvEJw,http://www.youtube.com/channel/UCdKuPY64fEpI4cdlBSyvEJw,Rocket League Esports
UCdT4cnyWOh6sDXivyqLURHQ,http://www.youtube.com/channel/UCdT4cnyWOh6sDXivyqLURHQ,Linkuru
UCe0DNp0mKMqrYVaTundyr9w,http://www.youtube.com/channel/UCe0DNp0mKMqrYVaTundyr9w,VaatiVidya
UCeUJFQ0D9qs6aVNyUt9fkeQ,http://www.youtube.com/channel/UCeUJFQ0D9qs6aVNyUt9fkeQ,The Armchair Historian
UCeVOtG0O6b88AedX3nOGAeA,http://www.youtube.com/channel/UCeVOtG0O6b88AedX3nOGAeA,Fungoose
UCeXlURDsE_zyn3fYNy3Uwyg,http://www.youtube.com/channel/UCeXlURDsE_zyn3fYNy3Uwyg,ChelseaFansChannel
UCew5br5cO1ZKO7Z_F1WA8Bg,http://www.youtube.com/channel/UCew5br5cO1ZKO7Z_F1WA8Bg,ThatsGoodSports
UCg6NaPCoUPlQCPCQiwmwlIA,http://www.youtube.com/channel/UCg6NaPCoUPlQCPCQiwmwlIA,Michi
UCiDJtJKMICpb9B1qf7qjEOA,http://www.youtube.com/channel/UCiDJtJKMICpb9B1qf7qjEOA,Adam Savage’s Tested
UCiT9RITQ9PW6BhXK0y2jaeg,http://www.youtube.com/channel/UCiT9RITQ9PW6BhXK0y2jaeg,Ken Jee
UCifWD4FBa4eaKK7HLF0PlTA,http://www.youtube.com/channel/UCifWD4FBa4eaKK7HLF0PlTA,Barstool Sports
UCjoHPnySKcDbxzaF2R8YM2Q,http://www.youtube.com/channel/UCjoHPnySKcDbxzaF2R8YM2Q,Football Analysis
UCk9gPdY4fbH0BRhyTio9XIg,http://www.youtube.com/channel/UCk9gPdY4fbH0BRhyTio9XIg,Scott Jund
UCkJdvwRC-oGPhRHW_XPNokg,http://www.youtube.com/channel/UCkJdvwRC-oGPhRHW_XPNokg,Hanging Pawns
UCkRObAh1PpwIme34YW9C0-g,http://www.youtube.com/channel/UCkRObAh1PpwIme34YW9C0-g,DreamHack Rocket League
UCkefXKtInZ9PLsoGRtml2FQ,http://www.youtube.com/channel/UCkefXKtInZ9PLsoGRtml2FQ,Professor Messer
UCmBklh7CzEaz4Z4pFXpBv3g,http://www.youtube.com/channel/UCmBklh7CzEaz4Z4pFXpBv3g,NexGenT
UCmGSJVG3mCRXVOP4yZrU1Dw,http://www.youtube.com/channel/UCmGSJVG3mCRXVOP4yZrU1Dw,Johnny Harris
UCmmPgObSUPw1HL2lq6H4ffA,http://www.youtube.com/channel/UCmmPgObSUPw1HL2lq6H4ffA,Geography Now
UCnQC_G5Xsjhp9fEJKuIcrSw,http://www.youtube.com/channel/UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro
UCoH-US6txXLyWjox2nqqBSg,http://www.youtube.com/channel/UCoH-US6txXLyWjox2nqqBSg,Proper Bird
UCoLUji8TYrgDy74_iiazvYA,http://www.youtube.com/channel/UCoLUji8TYrgDy74_iiazvYA,Jarvis Johnson
UCocHtA1ADT6kTObipYzJoww,http://www.youtube.com/channel/UCocHtA1ADT6kTObipYzJoww,SunlessKhan
UCooTLkxcpnTNx6vfOovfBFA,http://www.youtube.com/channel/UCooTLkxcpnTNx6vfOovfBFA,FOX Soccer
UCqYPhGiB9tkShZorfgcL2lA,http://www.youtube.com/channel/UCqYPhGiB9tkShZorfgcL2lA,What I've Learned
UCqZQlzSHbVJrwrn5XvzrzcA,http://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,NBC Sports
UCqpGXoLSDNEUrBfACKnAhVA,http://www.youtube.com/channel/UCqpGXoLSDNEUrBfACKnAhVA,OhTofu
UCr3cBLTYmIK9kY0F_OdFWFQ,http://www.youtube.com/channel/UCr3cBLTYmIK9kY0F_OdFWFQ,Casually Explained
UCrCh8p6p2UZC18vqSBhN_sA,http://www.youtube.com/channel/UCrCh8p6p2UZC18vqSBhN_sA,Keith Barker
UCrfKGpvbEQXcbe68dzXgJuA,http://www.youtube.com/channel/UCrfKGpvbEQXcbe68dzXgJuA,Forgotten Weapons
UCsEElUZGAki0uoWYif5btUw,http://www.youtube.com/channel/UCsEElUZGAki0uoWYif5btUw,Wayprotein
UCtYLUTtgS3k1Fg4y5tAhLbw,http://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
UCudqVyQYnmi8NwWfd11Rmvw,http://www.youtube.com/channel/UCudqVyQYnmi8NwWfd11Rmvw,Hillsdale College
UCvE-F-M1dKMqySRNztB5NBw,http://www.youtube.com/channel/UCvE-F-M1dKMqySRNztB5NBw,SCGallaxi
UCv_vLHiWVBh_FR9vbeuiY-A,http://www.youtube.com/channel/UCv_vLHiWVBh_FR9vbeuiY-A,Historia Civilis
UCvjgXvBlbQiydffZU7m1_aw,http://www.youtube.com/channel/UCvjgXvBlbQiydffZU7m1_aw,The Coding Train
UCvn7-W_-YfYpPfeTX6zz4YA,http://www.youtube.com/channel/UCvn7-W_-YfYpPfeTX6zz4YA,icepick
UCwYHy-0_HWounepQMjvHNzA,http://www.youtube.com/channel/UCwYHy-0_HWounepQMjvHNzA,Luke Faulkner
UCweCc7bSMX5J4jEH7HFImng,http://www.youtube.com/channel/UCweCc7bSMX5J4jEH7HFImng,GMHikaru
UCx-dJoP9hFCBloY9qodykvw,http://www.youtube.com/channel/UCx-dJoP9hFCBloY9qodykvw,BazBattles
UCz1oFxMrgrQ82-276UCOU9w,http://www.youtube.com/channel/UCz1oFxMrgrQ82-276UCOU9w,Atlas Pro
UCzMV_BNHRP71kMA7ZZ95MaA,http://www.youtube.com/channel/UCzMV_BNHRP71kMA7ZZ95MaA,Covert Cabal
UCzycs8MqvIY4nXWwS-v4J9g,http://www.youtube.com/channel/UCzycs8MqvIY4nXWwS-v4J9g,ONE OK ROCK

